Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Country,City,Store_Name,Sales_Channel,Product_Category,Product_Name,SKU,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit,Payment_Method,Customer_Rating,Return_Reason,Currency,Inventory_Available
PUMA145762,12/22/2023,C21494,Cheryl Mccarthy,F,17,Germany,Dubai,Puma Berlin,Store,Running Shoes,Puma Jackets 62,SKU938160,6,10449,30,62694,45397.75,17296.25,Card,4,Wrong Size,EUR,175
PUMA107486,9/6/2025,C66576,Michelle Johnson,Female,20,India,Dubai,Puma NYC,Mobile App,T-Shirts,Puma Jackets 85,SKU630614,8,4565,25,36520,26077.46,10442.54,UPI,2,Late Delivery,USD,573
PUMA144950,6/26/2023,C14929,Lee George,,37,Australia,Dubai,Puma Delhi,Marketplace,T-Shirts,Puma Accessories 97,SKU135980,4,4947,15,19788,15801.22,3986.78,Cash,4,Wrong Size,INR,273
PUMA137126,9/8/2024,C76910,Emily Beard,Male,15,Australia,NewYork,Puma Berlin,Website,Running Shoes,Puma Track Pants 73,SKU880692,6,10917,10,65502,53507.35,11994.65,UPI,,Delivered - Not Returned,AED,58
PUMA125996,Aug 24 2024,C52765,Michelle Harris,M,51,France,Mumbai ,PUMA Mumbai,Website,Jackets,Puma T-Shirts 80,SKU576221,10,9602,20,96020,70896.05,25123.95,Card,2,Late Delivery,GBP,324
PUMA125555,23/10/2023,C20533,Patrick Burke,F,23,Germany,London,Puma London,Website,T-Shirts,Puma Jackets 15,SKU177322,4,2725,15,10900,7166.15,3733.85,Card,2,Wrong Size,GBP,542
PUMA110146,14/02/2023,C94537,Leslie Hughes,Male,36,Australia,Delhii,Puma Mumbai,Website,Jackets,Puma T-Shirts 99,SKU489273,10,11620,15,116200,88059.6,28140.4,Net Banking,5,Delivered - Not Returned,INR,244
PUMA148745,12/1/2023,C89140,Ryan Howard,M,45,Australia,Sydney,Puma Mumbai,Mobile App,Track Pants,Puma Jackets 86,SKU577969,9,9957,10,89613,41304.33,48308.67,Net Banking,,Wrong Size,INR,590
PUMA133010,7/6/2024,C98069,Michael Bates,Female,16,Australia,London,Puma Delhi,Marketplace,Accessories,Puma Track Pants 9,SKU931237,9,2515,0,22635,16164.13,6470.87,Net Banking,5,Delivered - Not Returned,INR,76
PUMA108397,4/6/2024,C19803,Chad Gillespie,F,28,France,NewYork,Puma Mumbai,Website,T-Shirts,Puma Track Pants 21,SKU692251,5,8272,30,41360,26260.15,15099.85,UPI,3,Damaged,EUR,6
PUMA131356,7/19/2025,C78019,,,25,France,NewYork,Puma NYC,Mobile App,Running Shoes,Puma Track Pants 7,SKU895624,9,528,0,4752,2970.16,1781.84,Net Banking,2,Late Delivery,AED,491
PUMA116372,24/08/2024,C19084,Michael White,Male,29,Germany,Delhii,Puma NYC,Marketplace,Track Pants,Puma Track Pants 30,SKU968965,2,2502,15,5004,2406.36,2597.64,Cash,3,Damaged,USD,733
PUMA116886,3/23/2023,C74769,Kimberly Mcdonald,M,43,UAE,Berlin,Puma-Mumbai,Website,Accessories,Puma Track Pants 87,SKU821125,5,8917,15,44585,26729.82,17855.18,Cash,2,Late Delivery,AED,620
PUMA132944,10/14/2025,C86695,Sherry Erickson,Male,,India,Mumbai,Puma London,Store,Running Shoes,Puma Track Pants 87,SKU195991,1,4166,5,4166,3074.06,1091.94,Net Banking,5,Changed Mind,USD,549
PUMA115883,6/6/2025,C73714,Kelly Chambers,F,64,Germany,Delhi,Puma Delhi,Marketplace,Accessories,Puma Jackets 88,SKU352797,1,8765,20,8765,4861.78,3903.22,Net Banking,3,Changed Mind,GBP,626
PUMA130802,Jul 25 2023,C75704,Christopher Gomez,Female,38,India,Paris,Puma London,Store,Running Shoes,Puma Sports Shoes 25,SKU145236,4,7659,25,30636,25782.91,4853.09,UPI,4,Late Delivery,GBP,216
PUMA130024,12/1/2023,C62766,Cynthia Patrick,F,,UK,London,Puma Delhi,Marketplace,Jackets,Puma Accessories 21,SKU348335,9,7071,25,63639,47854.71,15784.29,Card,1,,EUR,234
PUMA125675,Sep 09 2024,C83759,Stephanie Ross,Male,21,India,Paris,Puma Berlin,Website,Track Pants,Puma Accessories 91,SKU463243,10,734,25,7340,3543.46,3796.54,PayPal,3,Changed Mind,USD,598
PUMA105428,Feb 08 2023,C35488,Kelly Brown,Female,20,India,Sydney,Puma Delhi,Website,Accessories,Puma Running Shoes 63,SKU839476,3,9617,0,28851,21848.72,7002.28,Card,,Late Delivery,AED,845
PUMA139178,6/29/2025,C28265,Joshua Jones,Female,48,Australia,Delhii,Puma-Mumbai,Marketplace,Accessories,Puma Running Shoes 71,SKU145711,1,6454,15,6454,3215.39,3238.61,UPI,,Damaged,USD,945
PUMA135348,3/28/2023,C91970,Shannon Frost,F,34,Germany,London,Puma Dubai,Store,T-Shirts,Puma Jackets 40,SKU672331,9,3536,5,31824,20848.05,10975.95,Net Banking,2,Damaged,GBP,851
PUMA136986,11/15/2024,C69628,Vincent Gibbs,Female,29,Australia,Delhi,Puma Berlin,Store,Sports Shoes,Puma Jackets 29,SKU936217,3,11382,30,34146,26871.23,7274.77,Card,5,Delivered - Not Returned,INR,850
PUMA144724,1/19/2023,C32194,Amanda Chandler,Female,62,UAE,London,Puma London,Marketplace,Track Pants,Puma Accessories 7,SKU574895,7,7819,0,54733,40358.12,14374.88,Cash,,,INR,859
PUMA103261,2/22/2024,C42954,Danielle Lowery,Male,55,Germany,New York,Puma-Mumbai,Mobile App,Track Pants,Puma Track Pants 85,SKU280805,3,8964,20,26892,21354.21,5537.79,UPI,4,Wrong Size,GBP,534
PUMA139720,11/7/2023,C14965,Lucas Gilbert,F,65,USA,Berlin,Puma Dubai,Store,T-Shirts,Puma Running Shoes 54,SKU781784,6,8879,0,53274,31887.88,21386.12,UPI,4,Delivered - Not Returned,GBP,472
PUMA139906,Dec 29 2024,C39910,Michael Torres,Male,48,UAE,Delhi,Puma Mumbai,Store,Jackets,Puma Sports Shoes 68,SKU588522,7,7924,20,55468,39167.06,16300.94,Net Banking,1,Damaged,EUR,905
PUMA147778,Nov 11 2024,C15741,Yolanda Baxter,F,17,Australia,Mumbai,Puma NYC,Store,Accessories,Puma Accessories 3,SKU246060,9,11004,0,99036,69501.73,29534.27,PayPal,1,Delivered - Not Returned,GBP,52
PUMA139794,Sep 09 2023,C13634,William Davis,Female,37,India,Bangalore,Puma-Mumbai,Marketplace,Accessories,Puma Running Shoes 16,SKU474685,3,7064,15,21192,11805.97,9386.03,UPI,5,,EUR,923
PUMA116583,Dec 06 2025,C25132,,F,45,USA,Delhi,Puma-Mumbai,Website,Running Shoes,Puma Running Shoes 100,SKU523133,10,3753,15,37530,23690.61,13839.39,UPI,5,Wrong Size,USD,559
PUMA139006,Jun 16 2024,C92567,Christopher Brown,,41,Germany,Berlin,Puma Delhi,Website,Sports Shoes,Puma T-Shirts 74,SKU198322,7,5626,15,39382,21819.18,17562.82,PayPal,4,Damaged,GBP,432
PUMA140571,11/6/2024,C59270,Joel Luna,M,32,USA,Mumbai,Puma NYC,Mobile App,Sports Shoes,Puma T-Shirts 43,SKU567624,8,7739,10,61912,40854.46,21057.54,Net Banking,1,Damaged,USD,357
PUMA110167,Jan 19 2025,C56559,Jennifer Norman,Male,41,Germany,Bangalore,PUMA Mumbai,Website,Accessories,Puma Sports Shoes 7,SKU619945,7,11827,20,82789,41003.58,41785.42,Net Banking,2,Delivered - Not Returned,INR,961
PUMA127531,3/8/2024,C77116,Heather Patterson,,45,UAE,Paris,Puma NYC,Store,Track Pants,Puma Accessories 24,SKU244191,3,6308,10,18924,14362.03,4561.97,Cash,,Damaged,AED,626
PUMA131993,6/14/2024,C21848,Jermaine Le DVM,Male,61,Australia,London,PUMA Mumbai,Store,T-Shirts,Puma Running Shoes 53,SKU162424,9,3710,25,33390,20137.37,13252.63,PayPal,5,Delivered - Not Returned,GBP,195
PUMA129313,9/15/2025,C83233,Michael Stone,Female,29,France,New York,Puma NYC,Store,Accessories,Puma Jackets 36,SKU830258,8,5337,10,42696,31245.43,11450.57,PayPal,5,Changed Mind,AED,112
PUMA126450,Dec 18 2024,C51924,Kristin Walker,F,33,UAE,Bangalore,Puma Berlin,Store,Accessories,Puma Accessories 75,SKU702590,10,9456,0,94560,67549.32,27010.68,Net Banking,,Delivered - Not Returned,AED,778
PUMA104384,1/12/2024,C12718,Jacob Bailey,F,31,USA,Paris,Puma Mumbai,Website,Track Pants,Puma T-Shirts 44,SKU745664,1,11097,15,11097,7551.27,3545.73,Net Banking,,Changed Mind,EUR,58
PUMA145765,10/5/2025,C95343,John Shepherd,F,54,India,London,PUMA Mumbai,Mobile App,Running Shoes,Puma Jackets 88,SKU833133,3,5673,15,17019,11460.87,5558.13,PayPal,4,Wrong Size,GBP,959
PUMA136139,Mar 09 2024,C72420,Dr. Thomas Mosley,,50,India,Delhii,Puma-Mumbai,Marketplace,Track Pants,Puma Accessories 33,SKU124739,4,6461,30,25844,12522.29,13321.71,Net Banking,3,Wrong Size,USD,471
PUMA119143,6/24/2023,C77563,Robert Cannon,Female,22,USA,Delhii,Puma London,Marketplace,Jackets,Puma T-Shirts 17,SKU585939,2,2906,5,5812,3432.02,2379.98,Card,5,Delivered - Not Returned,INR,161
PUMA100538,7/7/2024,C30647,Nicholas Williams,F,29,USA,Paris,Puma-Mumbai,Website,T-Shirts,Puma Sports Shoes 90,SKU795706,7,4975,0,34825,24540.35,10284.65,Net Banking,4,Wrong Size,USD,548
PUMA108242,9/28/2025,C13225,John Harrison,,61,USA,Sydney,Puma London,Store,Sports Shoes,Puma Jackets 97,SKU517651,4,9507,20,38028,27169.83,10858.17,PayPal,4,Wrong Size,AED,315
PUMA102072,18/03/2023,C37283,Jill Ballard,Male,33,Australia,Mumbai,Puma Berlin,Store,T-Shirts,Puma Track Pants 75,SKU496537,5,11343,30,56715,38096.77,18618.23,UPI,1,Delivered - Not Returned,GBP,306
PUMA111011,3/25/2025,C34729,Corey Lawson,,49,Germany,London,PUMA Mumbai,Marketplace,Sports Shoes,Puma Sports Shoes 67,SKU718116,9,1373,10,12357,7843,4514,Net Banking,3,Wrong Size,AED,767
PUMA129669,5/6/2025,C34443,Samantha Miller,M,23,UAE,NewYork,PUMA Mumbai,Marketplace,Track Pants,Puma Running Shoes 26,SKU867928,5,8723,10,43615,25661.27,17953.73,Net Banking,1,Damaged,INR,325
PUMA109938,10/3/2024,C46517,Jessica Delacruz,F,33,USA,Mumbai ,Puma London,Marketplace,Track Pants,Puma Running Shoes 85,SKU709273,2,9603,5,19206,9977.4,9228.6,PayPal,5,Late Delivery,GBP,626
PUMA114688,8/15/2023,C26251,Kevin Rogers,Female,50,India,Paris,Puma Mumbai,Mobile App,Sports Shoes,Puma Track Pants 56,SKU241771,1,7376,5,7376,4786.35,2589.65,UPI,2,,GBP,571
PUMA130789,9/25/2024,C20827,Mr. Adrian Riley,,49,France,Berlin,Puma-Mumbai,Website,Jackets,Puma Jackets 85,SKU892925,8,7425,5,59400,41894.72,17505.28,PayPal,1,Late Delivery,INR,753
PUMA115632,9/22/2024,C13232,,M,64,Germany,New York,Puma Berlin,Store,Track Pants,Puma T-Shirts 58,SKU801576,1,9082,0,9082,7165.06,1916.94,PayPal,4,Late Delivery,USD,314
PUMA132484,3/9/2024,C99442,William Berg,M,32,Australia,Paris,Puma Delhi,Marketplace,Running Shoes,Puma Sports Shoes 62,SKU864992,8,6139,15,49112,28835.83,20276.17,PayPal,1,Changed Mind,AED,782
PUMA137157,16/09/2024,C79262,Nina Berger,M,35,USA,Paris,PUMA Mumbai,Website,Jackets,Puma T-Shirts 22,SKU753333,7,3777,5,26439,16576.46,9862.54,Net Banking,1,,INR,591
PUMA132832,Sep 20 2023,C73480,Teresa Jensen,F,33,Australia,Bangalore,Puma Mumbai,Marketplace,Running Shoes,Puma Accessories 22,SKU452973,2,11620,25,23240,15663.43,7576.57,Card,3,Late Delivery,AED,605
PUMA105183,3/13/2024,C98286,Tina Brown,,32,Australia,Mumbai ,Puma Mumbai,Website,T-Shirts,Puma Track Pants 82,SKU237900,10,1248,10,12480,5725.56,6754.44,Card,1,Late Delivery,GBP,882
PUMA123435,3/19/2024,C24038,Tina Taylor,M,42,USA,NewYork,Puma NYC,Website,T-Shirts,Puma Track Pants 23,SKU412293,9,6925,10,62325,52456.53,9868.47,Card,3,Delivered - Not Returned,USD,996
PUMA125079,6/21/2025,C76618,Laura Moss,Male,45,India,London,Puma Mumbai,Marketplace,Track Pants,Puma T-Shirts 23,SKU463107,10,9861,30,98610,82179.7,16430.3,Net Banking,,Changed Mind,GBP,303
PUMA149661,7/3/2023,C48331,Joshua Osborne,Male,56,France,Mumbai ,Puma NYC,Mobile App,Track Pants,Puma Accessories 72,SKU742288,10,6608,20,66080,37116.09,28963.91,Net Banking,,Late Delivery,GBP,571
PUMA112921,10/28/2024,C80883,Marie Howard,Male,18,France,New York,PUMA Mumbai,Mobile App,T-Shirts,Puma Track Pants 100,SKU835531,3,10921,20,32763,21861.87,10901.13,PayPal,5,Changed Mind,USD,153
PUMA147870,Apr 30 2024,C60567,Dylan Sherman,Male,,USA,Sydney,PUMA Mumbai,Website,T-Shirts,Puma Track Pants 51,SKU790323,3,2641,15,7923,5841.8,2081.2,Cash,4,Delivered - Not Returned,EUR,736
PUMA119094,7/12/2024,C33834,Nicole Cox,,40,Germany,New York,Puma Delhi,Website,Jackets,Puma Accessories 14,SKU615465,9,9188,10,82692,47060.55,35631.45,UPI,2,Damaged,GBP,943
PUMA120005,6/30/2023,C93127,Jill George,M,24,Germany,New York,Puma Delhi,Mobile App,Jackets,Puma Jackets 89,SKU513176,9,9681,15,87129,71674.45,15454.55,PayPal,3,Late Delivery,EUR,444
PUMA111212,24/06/2023,C95739,Kristina Henderson,M,36,France,Delhii,Puma-Mumbai,Marketplace,Track Pants,Puma Track Pants 30,SKU150638,5,1434,0,7170,5001.68,2168.32,UPI,4,Wrong Size,AED,1
PUMA133812,5/18/2025,C53659,Jennifer Gonzalez,F,,Germany,Bangalore,PUMA Mumbai,Store,T-Shirts,Puma Jackets 21,SKU902371,7,3456,20,24192,17541.12,6650.88,Net Banking,4,Changed Mind,EUR,131
PUMA136318,11/12/2025,C48505,Blake Barnes,F,20,Australia,Delhii,Puma Dubai,Store,Accessories,Puma Jackets 23,SKU705117,4,5027,30,20108,16344.78,3763.22,Card,3,Delivered - Not Returned,INR,740
PUMA141331,16/09/2025,C84647,Charlene Riley,,19,UAE,Mumbai ,Puma Dubai,Website,Jackets,Puma Running Shoes 31,SKU836248,1,9388,25,9388,6493.92,2894.08,Net Banking,3,,AED,97
PUMA132801,22/09/2024,C58520,James Winters,,18,UAE,Berlin,Puma Dubai,Marketplace,Jackets,Puma Track Pants 41,SKU325398,4,7504,10,30016,23005,7011,PayPal,1,Wrong Size,AED,841
PUMA146795,10/24/2024,C61728,Kimberly Johnson,M,22,Australia,Delhii,Puma Dubai,Mobile App,Track Pants,Puma Track Pants 8,SKU816330,7,5727,20,40089,31059.33,9029.67,Card,5,Delivered - Not Returned,USD,349
PUMA128730,10/7/2023,C67216,Tina Nunez,M,34,France,Paris,Puma Dubai,Marketplace,Accessories,Puma T-Shirts 84,SKU503265,9,3289,20,29601,15906.08,13694.92,Net Banking,4,Late Delivery,GBP,425
PUMA111072,Nov 11 2023,C29702,Miranda Ortiz,M,20,Australia,Mumbai ,Puma NYC,Store,Track Pants,Puma T-Shirts 92,SKU253449,1,8983,15,8983,7083.71,1899.29,Card,1,Changed Mind,AED,834
PUMA121879,3/15/2025,C68801,Pamela Gonzalez,Female,63,India,London,PUMA Mumbai,Marketplace,Accessories,Puma Jackets 4,SKU318215,7,6556,25,45892,33621.48,12270.52,PayPal,1,Delivered - Not Returned,USD,891
PUMA140066,9/18/2023,C93038,Jaclyn Bass,F,29,USA,London,PUMA Mumbai,Website,Accessories,Puma Running Shoes 55,SKU158951,8,8284,25,66272,37190.87,29081.13,Card,4,,INR,879
PUMA149131,Jan 28 2023,C23733,Kevin Gardner,F,36,UAE,Sydney,PUMA Mumbai,Mobile App,Running Shoes,Puma T-Shirts 45,SKU422167,8,5106,15,40848,27891.72,12956.28,PayPal,1,Changed Mind,EUR,730
PUMA114323,27/12/2024,C26075,Kelly Pope,,18,France,NewYork,Puma Dubai,Marketplace,Running Shoes,Puma Running Shoes 63,SKU429877,10,2868,5,28680,15301.55,13378.45,Cash,2,Late Delivery,AED,365
PUMA129286,2/1/2025,C15567,Stephanie Smith,,45,France,Paris,Puma Delhi,Mobile App,T-Shirts,Puma Accessories 46,SKU134283,10,5274,30,52740,44656.61,8083.39,Card,,Damaged,EUR,820
PUMA143483,29/11/2025,C21489,Charles Ellis,,42,UAE,Berlin,Puma-Mumbai,Mobile App,Jackets,Puma Running Shoes 27,SKU114057,10,8896,30,88960,52004.33,36955.67,Cash,3,Late Delivery,USD,174
PUMA131920,5/5/2024,C36227,,M,,Australia,NewYork,Puma Mumbai,Mobile App,Jackets,Puma Jackets 44,SKU675812,8,6750,0,-54000,31066.59,22933.41,UPI,1,,GBP,593
PUMA140250,30/07/2025,C22924,Terry Mcbride,Male,44,Australia,NewYork,Puma-Mumbai,Website,Accessories,Puma Sports Shoes 57,SKU731582,7,9293,20,65051,46182.76,18868.24,UPI,,,USD,124
PUMA125108,1/30/2024,C22181,,Male,61,UAE,Sydney,Puma Dubai,Store,Sports Shoes,Puma Sports Shoes 89,SKU869731,4,11141,0,44564,21473.8,23090.2,Cash,4,Damaged,AED,406
PUMA131462,5/28/2025,C31325,,Male,58,UK,London,PUMA Mumbai,Marketplace,Running Shoes,Puma Accessories 2,SKU747271,1,9438,20,9438,6297.75,3140.25,Cash,4,Changed Mind,USD,767
PUMA107982,Nov 13 2023,C94597,Tim Shepherd,,55,Germany,Berlin,Puma London,Website,Running Shoes,Puma T-Shirts 9,SKU324464,6,10463,0,62778,51281.61,11496.39,Card,4,Changed Mind,USD,515
PUMA105847,Mar 31 2023,C56671,Cole May,,55,India,New York,Puma Dubai,Mobile App,T-Shirts,Puma Sports Shoes 25,SKU443789,4,11126,10,44504,29769.78,14734.22,PayPal,4,Damaged,INR,24
PUMA148736,6/8/2023,C87139,Zachary Gray,M,,UK,Berlin,Puma Dubai,Store,Accessories,Puma T-Shirts 7,SKU390517,7,6452,20,45164,28785.38,16378.62,UPI,3,Changed Mind,AED,409
PUMA109694,Sep 24 2023,C13531,Timothy Potter,Female,24,Australia,Dubai,Puma Dubai,Website,Jackets,Puma Sports Shoes 55,SKU936619,2,2465,25,4930,4180.33,749.67,PayPal,2,Delivered - Not Returned,GBP,454
PUMA146832,10/19/2023,C99892,Francis Martin,M,50,France,Delhii,Puma Delhi,Store,Track Pants,Puma Jackets 54,SKU962510,5,6881,0,34405,18243.55,16161.45,Card,1,Changed Mind,AED,977
PUMA135692,10/22/2025,C34874,,F,37,UAE,NewYork,Puma London,Website,Sports Shoes,Puma Accessories 28,SKU428140,4,10434,30,41736,26952.2,14783.8,Card,3,Delivered - Not Returned,INR,39
PUMA148688,2/26/2025,C24331,Nancy Carrillo,F,18,France,Delhi,Puma London,Website,T-Shirts,Puma Sports Shoes 28,SKU438433,10,8935,30,89350,41956.88,47393.12,Card,1,Late Delivery,INR,150
PUMA101800,Mar 02 2025,C52447,Laurie Jones,M,17,France,Berlin,Puma NYC,Store,Sports Shoes,Puma Jackets 20,SKU722811,9,6231,30,56079,40452.09,15626.91,UPI,,Damaged,GBP,18
PUMA100323,7/12/2023,C98267,Michael Martin,Female,65,Australia,Mumbai,Puma Mumbai,Marketplace,Sports Shoes,Puma Sports Shoes 55,SKU516514,9,8553,5,76977,37317.64,39659.36,PayPal,,Changed Mind,INR,692
PUMA116127,8/18/2023,C42727,Roger Young,Female,51,France,Mumbai,Puma Delhi,Marketplace,Running Shoes,Puma Track Pants 76,SKU565919,8,4963,15,39704,26754.96,12949.04,Card,4,Wrong Size,USD,344
PUMA105370,Sep 06 2024,C85767,Jordan Porter,,,UAE,Delhi,Puma NYC,Website,Running Shoes,Puma Jackets 96,SKU603833,10,4082,30,40820,25698.97,15121.03,Card,2,Wrong Size,USD,325
PUMA120073,9/25/2025,C38580,Taylor Mitchell,M,,USA,NewYork,Puma Mumbai,Mobile App,Sports Shoes,Puma T-Shirts 89,SKU757074,3,10945,10,32835,25003.87,7831.13,Card,5,Changed Mind,USD,561
PUMA135139,17/04/2024,C86563,Dr. Kathleen Franco,Female,18,Australia,Delhii,PUMA Mumbai,Store,Jackets,Puma Running Shoes 60,SKU432015,8,7701,20,61608,27918.16,33689.84,UPI,5,Delivered - Not Returned,EUR,948
PUMA149093,9/29/2024,C83817,Julia Powers,F,58,UAE,Dubai,Puma NYC,Store,Sports Shoes,Puma Track Pants 27,SKU655287,7,4228,10,29596,24052.74,5543.26,UPI,,Damaged,GBP,575
PUMA139007,10/4/2023,C23460,Gilbert Powers,Female,23,Australia,Berlin,Puma London,Website,T-Shirts,Puma Sports Shoes 31,SKU165234,1,5621,10,5621,4119.18,1501.82,Cash,1,Damaged,INR,619
PUMA108978,10/2/2023,C72158,Kenneth Williams,Male,54,Australia,Mumbai,Puma-Mumbai,Mobile App,Running Shoes,Puma T-Shirts 53,SKU188866,5,6793,30,33965,21437.88,12527.12,Net Banking,5,Delivered - Not Returned,GBP,782
PUMA101134,Apr 01 2023,C79957,Felicia Johnson,,63,Germany,Sydney,Puma-Mumbai,Store,Accessories,Puma T-Shirts 63,SKU860293,1,7892,20,7892,6278.13,1613.87,Card,5,Damaged,GBP,5
PUMA113312,9/17/2023,C91266,Rachel Davis,M,34,India,Paris,Puma-Mumbai,Mobile App,Running Shoes,Puma Accessories 10,SKU192141,7,4651,20,32557,26460.92,6096.08,Card,,Wrong Size,USD,94
PUMA143348,18/08/2025,C21171,Frank Herrera,M,37,UAE,New York,Puma Mumbai,Mobile App,T-Shirts,Puma Accessories 52,SKU674037,2,2122,20,4244,3597.88,646.12,PayPal,2,Changed Mind,AED,600
PUMA131533,Jun 14 2024,C50328,,Female,24,UK,Bangalore,Puma Berlin,Mobile App,T-Shirts,Puma Sports Shoes 30,SKU732192,3,6493,5,19479,15650.9,3828.1,Cash,,Delivered - Not Returned,GBP,781
PUMA110254,12/28/2023,C75300,Tommy Newman,F,55,USA,Delhi,Puma Dubai,Marketplace,Running Shoes,Puma Jackets 90,SKU101601,3,4247,10,12741,9301.41,3439.59,Cash,3,Damaged,AED,99
PUMA146476,Feb 20 2023,C49372,James Francis,,,Germany,Delhi,Puma NYC,Store,Jackets,Puma Running Shoes 93,SKU540699,6,814,5,4884,4114.39,769.61,PayPal,1,,GBP,675
PUMA136173,9/2/2023,C52817,Anita Holland,,34,France,Mumbai,Puma Berlin,Website,Accessories,Puma Jackets 2,SKU706642,3,2999,0,8997,5177.7,3819.3,Cash,1,Delivered - Not Returned,GBP,339
PUMA110766,May 13 2025,C94617,William Vincent,Female,56,UK,Berlin,PUMA Mumbai,Website,Track Pants,Puma Jackets 62,SKU360351,3,2448,25,7344,6008.27,1335.73,Card,2,Delivered - Not Returned,AED,25
PUMA123042,10/7/2024,C19122,Debbie Jackson,F,27,Germany,Delhii,Puma Berlin,Store,T-Shirts,Puma Track Pants 91,SKU131548,1,8858,5,8858,7225.83,1632.17,Card,,,AED,870
