Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Country,City,Store_Name,Sales_Channel,Product_Category,Product_Name,SKU,Quantity,Unit_Price,Cost,Payment_Method,Customer_Rating,Return_Reason,Currency,Inventory_Available,Revenue,Profit
PUMA139906,2024-12-29,C39910,Michael Torres,Male,48,UAE,Delhi,Puma Mumbai,Store,Jackets,Puma Sports Shoes 68,SKU588522,7,7924.0,39167.06,Net Banking,1.0,Damaged,EUR,905,55468.0,16300.94
PUMA147778,2024-11-11,C15741,Yolanda Baxter,Female,17,Australia,Mumbai,Puma NYC,Store,Accessories,Puma Accessories 3,SKU246060,9,11004.0,69501.73,PayPal,1.0,Delivered - Not Returned,GBP,52,99036.0,29534.27
PUMA139794,2023-09-09,C13634,William Davis,Female,37,India,Bangalore,Puma Mumbai,Marketplace,Accessories,Puma Running Shoes 16,SKU474685,3,7064.0,11805.97,UPI,5.0,Not Specified,EUR,923,21192.0,9386.03
PUMA116583,2025-12-06,C25132,Unknown,Female,45,USA,Delhi,Puma Mumbai,Website,Running Shoes,Puma Running Shoes 100,SKU523133,10,3753.0,23690.61,UPI,5.0,Wrong Size,USD,559,37530.0,13839.39
PUMA139006,2024-06-16,C92567,Christopher Brown,Female,41,Germany,Berlin,Puma Delhi,Website,Sports Shoes,Puma T-Shirts 74,SKU198322,7,5626.0,21819.18,PayPal,4.0,Damaged,GBP,432,39382.0,17562.82
PUMA140571,2024-11-06,C59270,Joel Luna,Male,32,USA,Mumbai,Puma NYC,Mobile App,Sports Shoes,Puma T-Shirts 43,SKU567624,8,7739.0,40854.46,Net Banking,1.0,Damaged,USD,357,61912.0,21057.54
PUMA110167,2025-01-19,C56559,Jennifer Norman,Male,41,Germany,Bangalore,Puma Mumbai,Website,Accessories,Puma Sports Shoes 7,SKU619945,7,11827.0,41003.58,Net Banking,2.0,Delivered - Not Returned,INR,961,82789.0,41785.42
PUMA127531,2024-03-08,C77116,Heather Patterson,Female,45,UAE,Paris,Puma NYC,Store,Track Pants,Puma Accessories 24,SKU244191,3,6308.0,14362.03,Cash,4.0,Damaged,AED,626,18924.0,4561.97
PUMA131993,2024-06-14,C21848,Jermaine Le DVM,Male,61,Australia,London,Puma Mumbai,Store,T-Shirts,Puma Running Shoes 53,SKU162424,9,3710.0,20137.37,PayPal,5.0,Delivered - Not Returned,GBP,195,33390.0,13252.63
PUMA129313,2025-09-15,C83233,Michael Stone,Female,29,France,New York,Puma NYC,Store,Accessories,Puma Jackets 36,SKU830258,8,5337.0,31245.43,PayPal,5.0,Changed Mind,AED,112,42696.0,11450.57
PUMA126450,2024-12-18,C51924,Kristin Walker,Female,33,UAE,Bangalore,Puma Berlin,Store,Accessories,Puma Accessories 75,SKU702590,10,9456.0,67549.32,Net Banking,4.0,Delivered - Not Returned,AED,778,94560.0,27010.68
PUMA104384,2024-01-12,C12718,Jacob Bailey,Female,31,USA,Paris,Puma Mumbai,Website,Track Pants,Puma T-Shirts 44,SKU745664,1,11097.0,7551.27,Net Banking,4.0,Changed Mind,EUR,58,11097.0,3545.73
PUMA145765,2025-10-05,C95343,John Shepherd,Female,54,India,London,Puma Mumbai,Mobile App,Running Shoes,Puma Jackets 88,SKU833133,3,5673.0,11460.87,PayPal,4.0,Wrong Size,GBP,959,17019.0,5558.13
PUMA136139,2024-03-09,C72420,Dr. Thomas Mosley,Female,50,India,Delhi,Puma Mumbai,Marketplace,Track Pants,Puma Accessories 33,SKU124739,4,6461.0,12522.29,Net Banking,3.0,Wrong Size,USD,471,25844.0,13321.71
PUMA119143,2023-06-24,C77563,Robert Cannon,Female,22,USA,Delhi,Puma London,Marketplace,Jackets,Puma T-Shirts 17,SKU585939,2,2906.0,3432.02,Card,5.0,Delivered - Not Returned,INR,161,5812.0,2379.98
PUMA100538,2024-07-07,C30647,Nicholas Williams,Female,29,USA,Paris,Puma Mumbai,Website,T-Shirts,Puma Sports Shoes 90,SKU795706,7,4975.0,24540.35,Net Banking,4.0,Wrong Size,USD,548,34825.0,10284.65
PUMA108242,2025-09-28,C13225,John Harrison,Female,61,USA,Sydney,Puma London,Store,Sports Shoes,Puma Jackets 97,SKU517651,4,9507.0,27169.83,PayPal,4.0,Wrong Size,AED,315,38028.0,10858.17
PUMA102072,2023-03-18,C37283,Jill Ballard,Male,33,Australia,Mumbai,Puma Berlin,Store,T-Shirts,Puma Track Pants 75,SKU496537,5,11343.0,38096.77,UPI,1.0,Delivered - Not Returned,GBP,306,56715.0,18618.23
PUMA111011,2025-03-25,C34729,Corey Lawson,Female,49,Germany,London,Puma Mumbai,Marketplace,Sports Shoes,Puma Sports Shoes 67,SKU718116,9,1373.0,7843.0,Net Banking,3.0,Wrong Size,AED,767,12357.0,4514.0
PUMA129669,2025-05-06,C34443,Samantha Miller,Male,23,UAE,New York,Puma Mumbai,Marketplace,Track Pants,Puma Running Shoes 26,SKU867928,5,8723.0,25661.27,Net Banking,1.0,Damaged,INR,325,43615.0,17953.73
PUMA109938,2024-10-03,C46517,Jessica Delacruz,Female,33,USA,Mumbai ,Puma London,Marketplace,Track Pants,Puma Running Shoes 85,SKU709273,2,9603.0,9977.4,PayPal,5.0,Late Delivery,GBP,626,19206.0,9228.6
PUMA114688,2023-08-15,C26251,Kevin Rogers,Female,50,India,Paris,Puma Mumbai,Mobile App,Sports Shoes,Puma Track Pants 56,SKU241771,1,7376.0,4786.35,UPI,2.0,Not Specified,GBP,571,7376.0,2589.65
PUMA130789,2024-09-25,C20827,Mr. Adrian Riley,Female,49,France,Berlin,Puma Mumbai,Website,Jackets,Puma Jackets 85,SKU892925,8,7425.0,41894.72,PayPal,1.0,Late Delivery,INR,753,59400.0,17505.28
PUMA115632,2024-09-22,C13232,Unknown,Male,64,Germany,New York,Puma Berlin,Store,Track Pants,Puma T-Shirts 58,SKU801576,1,9082.0,7165.06,PayPal,4.0,Late Delivery,USD,314,9082.0,1916.94
PUMA132484,2024-03-09,C99442,William Berg,Male,32,Australia,Paris,Puma Delhi,Marketplace,Running Shoes,Puma Sports Shoes 62,SKU864992,8,6139.0,28835.83,PayPal,1.0,Changed Mind,AED,782,49112.0,20276.17
PUMA137157,2024-09-16,C79262,Nina Berger,Male,35,USA,Paris,Puma Mumbai,Website,Jackets,Puma T-Shirts 22,SKU753333,7,3777.0,16576.46,Net Banking,1.0,Not Specified,INR,591,26439.0,9862.54
PUMA132832,2023-09-20,C73480,Teresa Jensen,Female,33,Australia,Bangalore,Puma Mumbai,Marketplace,Running Shoes,Puma Accessories 22,SKU452973,2,11620.0,15663.43,Card,3.0,Late Delivery,AED,605,23240.0,7576.57
PUMA105183,2024-03-13,C98286,Tina Brown,Female,32,Australia,Mumbai ,Puma Mumbai,Website,T-Shirts,Puma Track Pants 82,SKU237900,10,1248.0,5725.56,Card,1.0,Late Delivery,GBP,882,12480.0,6754.44
PUMA123435,2024-03-19,C24038,Tina Taylor,Male,42,USA,New York,Puma NYC,Website,T-Shirts,Puma Track Pants 23,SKU412293,9,6925.0,52456.53,Card,3.0,Delivered - Not Returned,USD,996,62325.0,9868.47
PUMA125079,2025-06-21,C76618,Laura Moss,Male,45,India,London,Puma Mumbai,Marketplace,Track Pants,Puma T-Shirts 23,SKU463107,10,9861.0,82179.7,Net Banking,4.0,Changed Mind,GBP,303,98610.0,16430.3
PUMA149661,2023-07-03,C48331,Joshua Osborne,Male,56,France,Mumbai ,Puma NYC,Mobile App,Track Pants,Puma Accessories 72,SKU742288,10,6608.0,37116.09,Net Banking,4.0,Late Delivery,GBP,571,66080.0,28963.91
PUMA112921,2024-10-28,C80883,Marie Howard,Male,18,France,New York,Puma Mumbai,Mobile App,T-Shirts,Puma Track Pants 100,SKU835531,3,10921.0,21861.87,PayPal,5.0,Changed Mind,USD,153,32763.0,10901.13
PUMA147870,2024-04-30,C60567,Dylan Sherman,Male,61,USA,Sydney,Puma Mumbai,Website,T-Shirts,Puma Track Pants 51,SKU790323,3,2641.0,5841.8,Cash,4.0,Delivered - Not Returned,EUR,736,7923.0,2081.2
PUMA119094,2024-07-12,C33834,Nicole Cox,Female,40,Germany,New York,Puma Delhi,Website,Jackets,Puma Accessories 14,SKU615465,9,9188.0,47060.55,UPI,2.0,Damaged,GBP,943,82692.0,35631.45
PUMA120005,2023-06-30,C93127,Jill George,Male,24,Germany,New York,Puma Delhi,Mobile App,Jackets,Puma Jackets 89,SKU513176,9,9681.0,71674.45,PayPal,3.0,Late Delivery,EUR,444,87129.0,15454.55
PUMA111212,2023-06-24,C95739,Kristina Henderson,Male,36,France,Delhi,Puma Mumbai,Marketplace,Track Pants,Puma Track Pants 30,SKU150638,5,1434.0,5001.68,UPI,4.0,Wrong Size,AED,1,7170.0,2168.32
PUMA133812,2025-05-18,C53659,Jennifer Gonzalez,Female,61,Germany,Bangalore,Puma Mumbai,Store,T-Shirts,Puma Jackets 21,SKU902371,7,3456.0,17541.12,Net Banking,4.0,Changed Mind,EUR,131,24192.0,6650.88
PUMA136318,2025-11-12,C48505,Blake Barnes,Female,20,Australia,Delhi,Puma Dubai,Store,Accessories,Puma Jackets 23,SKU705117,4,5027.0,16344.78,Card,3.0,Delivered - Not Returned,INR,740,20108.0,3763.22
PUMA141331,2025-09-16,C84647,Charlene Riley,Female,19,UAE,Mumbai ,Puma Dubai,Website,Jackets,Puma Running Shoes 31,SKU836248,1,9388.0,6493.92,Net Banking,3.0,Not Specified,AED,97,9388.0,2894.08
PUMA132801,2024-09-22,C58520,James Winters,Female,18,UAE,Berlin,Puma Dubai,Marketplace,Jackets,Puma Track Pants 41,SKU325398,4,7504.0,23005.0,PayPal,1.0,Wrong Size,AED,841,30016.0,7011.0
PUMA146795,2024-10-24,C61728,Kimberly Johnson,Male,22,Australia,Delhi,Puma Dubai,Mobile App,Track Pants,Puma Track Pants 8,SKU816330,7,5727.0,31059.33,Card,5.0,Delivered - Not Returned,USD,349,40089.0,9029.67
PUMA128730,2023-10-07,C67216,Tina Nunez,Male,34,France,Paris,Puma Dubai,Marketplace,Accessories,Puma T-Shirts 84,SKU503265,9,3289.0,15906.08,Net Banking,4.0,Late Delivery,GBP,425,29601.0,13694.92
PUMA111072,2023-11-11,C29702,Miranda Ortiz,Male,20,Australia,Mumbai ,Puma NYC,Store,Track Pants,Puma T-Shirts 92,SKU253449,1,8983.0,7083.71,Card,1.0,Changed Mind,AED,834,8983.0,1899.29
PUMA121879,2025-03-15,C68801,Pamela Gonzalez,Female,63,India,London,Puma Mumbai,Marketplace,Accessories,Puma Jackets 4,SKU318215,7,6556.0,33621.48,PayPal,1.0,Delivered - Not Returned,USD,891,45892.0,12270.52
PUMA140066,2023-09-18,C93038,Jaclyn Bass,Female,29,USA,London,Puma Mumbai,Website,Accessories,Puma Running Shoes 55,SKU158951,8,8284.0,37190.87,Card,4.0,Not Specified,INR,879,66272.0,29081.13
PUMA149131,2023-01-28,C23733,Kevin Gardner,Female,36,UAE,Sydney,Puma Mumbai,Mobile App,Running Shoes,Puma T-Shirts 45,SKU422167,8,5106.0,27891.72,PayPal,1.0,Changed Mind,EUR,730,40848.0,12956.28
PUMA114323,2024-12-27,C26075,Kelly Pope,Female,18,France,New York,Puma Dubai,Marketplace,Running Shoes,Puma Running Shoes 63,SKU429877,10,2868.0,15301.55,Cash,2.0,Late Delivery,AED,365,28680.0,13378.45
PUMA129286,2025-02-01,C15567,Stephanie Smith,Female,45,France,Paris,Puma Delhi,Mobile App,T-Shirts,Puma Accessories 46,SKU134283,10,5274.0,44656.61,Card,4.0,Damaged,EUR,820,52740.0,8083.39
PUMA143483,2025-11-29,C21489,Charles Ellis,Female,42,UAE,Berlin,Puma Mumbai,Mobile App,Jackets,Puma Running Shoes 27,SKU114057,10,8896.0,52004.33,Cash,3.0,Late Delivery,USD,174,88960.0,36955.67
PUMA131920,2024-05-05,C36227,Unknown,Male,61,Australia,New York,Puma Mumbai,Mobile App,Jackets,Puma Jackets 44,SKU675812,8,6750.0,31066.59,UPI,1.0,Not Specified,GBP,593,54000.0,22933.41
PUMA140250,2025-07-30,C22924,Terry Mcbride,Male,44,Australia,New York,Puma Mumbai,Website,Accessories,Puma Sports Shoes 57,SKU731582,7,9293.0,46182.76,UPI,4.0,Not Specified,USD,124,65051.0,18868.24
PUMA125108,2024-01-30,C22181,Unknown,Male,61,UAE,Sydney,Puma Dubai,Store,Sports Shoes,Puma Sports Shoes 89,SKU869731,4,11141.0,21473.8,Cash,4.0,Damaged,AED,406,44564.0,23090.2
PUMA131462,2025-05-28,C31325,Unknown,Male,58,UK,London,Puma Mumbai,Marketplace,Running Shoes,Puma Accessories 2,SKU747271,1,9438.0,6297.75,Cash,4.0,Changed Mind,USD,767,9438.0,3140.25
PUMA107982,2023-11-13,C94597,Tim Shepherd,Female,55,Germany,Berlin,Puma London,Website,Running Shoes,Puma T-Shirts 9,SKU324464,6,10463.0,51281.61,Card,4.0,Changed Mind,USD,515,62778.0,11496.39
PUMA105847,2023-03-31,C56671,Cole May,Female,55,India,New York,Puma Dubai,Mobile App,T-Shirts,Puma Sports Shoes 25,SKU443789,4,11126.0,29769.78,PayPal,4.0,Damaged,INR,24,44504.0,14734.22
PUMA148736,2023-06-08,C87139,Zachary Gray,Male,61,UK,Berlin,Puma Dubai,Store,Accessories,Puma T-Shirts 7,SKU390517,7,6452.0,28785.38,UPI,3.0,Changed Mind,AED,409,45164.0,16378.62
PUMA109694,2023-09-24,C13531,Timothy Potter,Female,24,Australia,Dubai,Puma Dubai,Website,Jackets,Puma Sports Shoes 55,SKU936619,2,2465.0,4180.33,PayPal,2.0,Delivered - Not Returned,GBP,454,4930.0,749.67
PUMA146832,2023-10-19,C99892,Francis Martin,Male,50,France,Delhi,Puma Delhi,Store,Track Pants,Puma Jackets 54,SKU962510,5,6881.0,18243.55,Card,1.0,Changed Mind,AED,977,34405.0,16161.45
PUMA135692,2025-10-22,C34874,Unknown,Female,37,UAE,New York,Puma London,Website,Sports Shoes,Puma Accessories 28,SKU428140,4,10434.0,26952.2,Card,3.0,Delivered - Not Returned,INR,39,41736.0,14783.8
PUMA148688,2025-02-26,C24331,Nancy Carrillo,Female,18,France,Delhi,Puma London,Website,T-Shirts,Puma Sports Shoes 28,SKU438433,10,8935.0,41956.88,Card,1.0,Late Delivery,INR,150,89350.0,47393.12
PUMA101800,2025-03-02,C52447,Laurie Jones,Male,17,France,Berlin,Puma NYC,Store,Sports Shoes,Puma Jackets 20,SKU722811,9,6231.0,40452.09,UPI,4.0,Damaged,GBP,18,56079.0,15626.91
PUMA100323,2023-07-12,C98267,Michael Martin,Female,65,Australia,Mumbai,Puma Mumbai,Marketplace,Sports Shoes,Puma Sports Shoes 55,SKU516514,9,8553.0,37317.64,PayPal,4.0,Changed Mind,INR,692,76977.0,39659.36
PUMA116127,2023-08-18,C42727,Roger Young,Female,51,France,Mumbai,Puma Delhi,Marketplace,Running Shoes,Puma Track Pants 76,SKU565919,8,4963.0,26754.96,Card,4.0,Wrong Size,USD,344,39704.0,12949.04
PUMA105370,2024-09-06,C85767,Jordan Porter,Female,61,UAE,Delhi,Puma NYC,Website,Running Shoes,Puma Jackets 96,SKU603833,10,4082.0,25698.97,Card,2.0,Wrong Size,USD,325,40820.0,15121.03
PUMA120073,2025-09-25,C38580,Taylor Mitchell,Male,61,USA,New York,Puma Mumbai,Mobile App,Sports Shoes,Puma T-Shirts 89,SKU757074,3,10945.0,25003.87,Card,5.0,Changed Mind,USD,561,32835.0,7831.13
PUMA135139,2024-04-17,C86563,Dr. Kathleen Franco,Female,18,Australia,Delhi,Puma Mumbai,Store,Jackets,Puma Running Shoes 60,SKU432015,8,7701.0,27918.16,UPI,5.0,Delivered - Not Returned,EUR,948,61608.0,33689.84
PUMA149093,2024-09-29,C83817,Julia Powers,Female,58,UAE,Dubai,Puma NYC,Store,Sports Shoes,Puma Track Pants 27,SKU655287,7,4228.0,24052.74,UPI,4.0,Damaged,GBP,575,29596.0,5543.26
PUMA139007,2023-10-04,C23460,Gilbert Powers,Female,23,Australia,Berlin,Puma London,Website,T-Shirts,Puma Sports Shoes 31,SKU165234,1,5621.0,4119.18,Cash,1.0,Damaged,INR,619,5621.0,1501.82
PUMA108978,2023-10-02,C72158,Kenneth Williams,Male,54,Australia,Mumbai,Puma Mumbai,Mobile App,Running Shoes,Puma T-Shirts 53,SKU188866,5,6793.0,21437.88,Net Banking,5.0,Delivered - Not Returned,GBP,782,33965.0,12527.12
PUMA101134,2023-04-01,C79957,Felicia Johnson,Female,63,Germany,Sydney,Puma Mumbai,Store,Accessories,Puma T-Shirts 63,SKU860293,1,7892.0,6278.13,Card,5.0,Damaged,GBP,5,7892.0,1613.87
PUMA113312,2023-09-17,C91266,Rachel Davis,Male,34,India,Paris,Puma Mumbai,Mobile App,Running Shoes,Puma Accessories 10,SKU192141,7,4651.0,26460.92,Card,4.0,Wrong Size,USD,94,32557.0,6096.08
PUMA143348,2025-08-18,C21171,Frank Herrera,Male,37,UAE,New York,Puma Mumbai,Mobile App,T-Shirts,Puma Accessories 52,SKU674037,2,2122.0,3597.88,PayPal,2.0,Changed Mind,AED,600,4244.0,646.12
